,소비처업종,사용금액
11,요식업소,5749.798200674747
12,유통업,4220.9537593523855
14,의료기관,2039.9913005654632
7,서적문구,1612.9193365144286
10,연료판매,1401.4018485915492
1,가전,1278.9116409537166
9,신변잡화,955.7200191113235
17,자동차판매,745.1363636363636
15,의복,742.9588607594936
20,직물,694.8119658119658
0,가구,676.2604166666666
5,보건위생,638.5131280388979
6,사무통신,396.8452380952381
18,전기,379.531914893617
4,문화취미,339.24172762103797
13,음료식품,337.75276225139737
2,광학제품,336.3530701754386
16,자동차정비,312.5863483774711
3,레저업소,305.6402540033131
19,주방용품,270.7235023041475
8,수리서비스,148.2912032355915
