연령,직업군,결혼여부,학력,신용카드소지여부,주택대출여부,개인대출여부,contact,통화시간,연락시도횟수,p_days,과거통화횟수,계약여부,카드종류,연락일
56,주부,결혼,중졸,없음,없음,없음,유선전화,261,1,,0,no,87,2020-01-03
57,서비스종사자,결혼,전문학교,미확인,없음,없음,유선전화,149,1,,0,no,88,2020-01-03
37,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,226,1,,0,no,89,2020-01-03
40,회사원,결혼,검정고시,없음,없음,없음,유선전화,151,1,,0,no,90,2020-01-03
56,서비스종사자,결혼,전문학교,없음,없음,대출있음,유선전화,307,1,,0,no,91,2020-01-03
45,서비스종사자,결혼,고졸,미확인,없음,없음,유선전화,198,1,,0,no,92,2020-01-03
59,회사원,결혼,석박사,없음,없음,없음,유선전화,139,1,,0,no,93,2020-01-03
41,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,217,1,,0,no,94,2020-01-03
24,기술자,미혼,석박사,없음,대출있음,없음,유선전화,380,1,,0,no,95,2020-01-04
25,서비스종사자,미혼,전문학교,없음,대출있음,없음,유선전화,50,1,,0,no,96,2020-01-04
41,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,55,1,,0,no,97,2020-01-05
25,서비스종사자,미혼,전문학교,없음,대출있음,없음,유선전화,222,1,,0,no,98,2020-01-05
29,산업노동자,미혼,전문학교,없음,없음,대출있음,유선전화,137,1,,0,no,99,2020-01-05
57,주부,이혼,중졸,없음,대출있음,없음,유선전화,293,1,,0,no,100,2020-01-05
35,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,146,1,,0,no,101,2020-01-05
54,은퇴,결혼,고졸,미확인,대출있음,대출있음,유선전화,174,1,,0,no,102,2020-01-06
35,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,312,1,,0,no,103,2020-01-06
46,산업노동자,결혼,검정고시,미확인,대출있음,대출있음,유선전화,440,1,,0,no,104,2020-01-06
50,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,353,1,,0,no,105,2020-01-06
39,공무원,미혼,고졸,미확인,없음,없음,유선전화,195,1,,0,no,106,2020-01-06
30,미취업자,결혼,전문학교,없음,없음,없음,유선전화,38,1,,0,no,107,2020-01-06
55,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,262,1,,0,no,108,2020-01-07
55,은퇴,미혼,전문학교,없음,대출있음,없음,유선전화,342,1,,0,no,109,2020-01-07
41,기술자,미혼,전문학교,없음,대출있음,없음,유선전화,181,1,,0,no,110,2020-01-07
37,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,172,1,,0,no,111,2020-01-07
35,기술자,결혼,대졸학사,없음,없음,대출있음,유선전화,99,1,,0,no,112,2020-01-08
59,기술자,결혼,미확인,없음,대출있음,없음,유선전화,93,1,,0,no,113,2020-01-08
39,자영업자,결혼,고졸,미확인,없음,없음,유선전화,233,1,,0,no,114,2020-01-08
54,기술자,미혼,대졸학사,미확인,없음,없음,유선전화,255,2,,0,no,115,2020-01-08
55,미확인,결혼,대졸학사,미확인,미확인,미확인,유선전화,362,1,,0,no,116,2020-01-08
46,회사원,결혼,미확인,없음,없음,없음,유선전화,348,1,,0,no,117,2020-01-10
59,기술자,결혼,미확인,없음,대출있음,없음,유선전화,386,1,,0,no,118,2020-01-10
49,산업노동자,결혼,미확인,없음,없음,없음,유선전화,73,1,,0,no,119,2020-01-10
54,공무원,결혼,중졸,미확인,대출있음,없음,유선전화,230,1,,0,no,120,2020-01-10
54,산업노동자,이혼,중졸,없음,없음,없음,유선전화,208,1,,0,no,121,2020-01-10
55,미확인,결혼,중졸,미확인,대출있음,없음,유선전화,336,1,,0,no,122,2020-01-10
34,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,365,1,,0,no,123,2020-01-10
52,기술자,결혼,고졸,없음,대출있음,없음,유선전화,1666,1,,0,no,124,2020-01-11
41,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,577,1,,0,no,125,2020-01-11
56,기술자,결혼,중졸,없음,대출있음,없음,유선전화,137,1,,0,no,126,2020-01-11
58,공무원,미확인,대졸학사,없음,대출있음,없음,유선전화,366,1,,0,no,127,2020-01-12
32,기업가,결혼,전문학교,없음,대출있음,없음,유선전화,314,1,,0,no,128,2020-01-12
38,회사원,미혼,석박사,없음,없음,없음,유선전화,160,1,,0,no,129,2020-01-12
57,회사원,결혼,대졸학사,없음,없음,대출있음,유선전화,212,1,,0,no,130,2020-01-12
44,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,188,1,,0,no,131,2020-01-12
42,기술자,미혼,석박사,미확인,없음,없음,유선전화,22,1,,0,no,132,2020-01-12
57,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,616,1,,0,no,133,2020-01-13
40,산업노동자,결혼,고졸,없음,없음,대출있음,유선전화,178,1,,0,no,134,2020-01-13
35,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,355,1,,0,no,135,2020-01-13
45,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,225,2,,0,no,136,2020-01-13
54,회사원,결혼,전문학교,없음,없음,없음,유선전화,160,1,,0,no,137,2020-01-14
