가입월,전체결제수,이용고객수,신규고객수,재구매수,복귀고객수,이탈율,구매금액,결제금액
201901,4359,3264,3264,0,0,0.0,129393220,88867985
201902,7156,5722,5342,380,0,0.0,193618310,136463219
201903,9579,7746,6674,1072,0,0.0,226779440,161780826
201904,8922,7067,5226,1805,36,0.44699754901960786,252144580,179559469
201905,8949,6826,4765,1862,199,0.6745893044390073,298638700,213899693
201906,10907,8891,6326,2183,382,0.7181771236767364,312691570,228794478
201907,14587,11835,7765,2902,1168,0.5893589925003537,403457580,291671879
201908,12607,10011,6171,3118,722,0.5432171110460006,373424460,272403200
201909,12829,9995,5564,3581,850,0.5972331571251828,370359780,265811765
201910,19133,15200,8826,4447,1927,0.6242501056189269,543008100,383916819
201911,10474,8279,3931,3391,957,0.6612726001398461,360326220,258996377
201912,17918,14443,7615,4643,2185,0.5354677338669335,513991690,364584442
202001,11921,8696,2358,4624,1714,0.6957894736842105,451922230,311329806
202002,11798,8424,2070,4431,1923,0.4647904336272497,416960560,302325284
202003,9972,7120,1457,3958,1705,0.725957211105726,322909380,238261292
202004,8422,6323,1157,3522,1644,0.5949862005519779,327359950,234971269
202005,6473,5122,1026,2538,1558,0.6987179487179487,206896790,138735377
202006,4983,4168,592,1898,1678,0.7334269662921349,141364010,93168847
202007,7175,5560,798,2314,2448,0.6340344773050768,211974800,139536372
202008,1353,1173,128,581,464,0.8865677469738383,42181640,27030595
