,고객번호,최근구매일,가입일,고객번호(가입일제외)
0,201812310749735,20200220,20181231,749735
1,201812310749771,20190513,20181231,749771
2,201812310749774,20190729,20181231,749774
3,201812310749780,20190130,20181231,749780
4,201812310749784,20200723,20181231,749784
5,201812310749787,20200724,20181231,749787
6,201812310749792,20190907,20181231,749792
7,201812310749802,20191219,20181231,749802
8,201812310749811,20190620,20181231,749811
9,201812310749816,20190227,20181231,749816
10,201812310749818,20190504,20181231,749818
11,201812310749820,20190821,20181231,749820
12,201812310749821,20200122,20181231,749821
13,201812310749826,20190309,20181231,749826
14,201812310749827,20200729,20181231,749827
15,201812310749828,20190101,20181231,749828
16,201812310749831,20190713,20181231,749831
17,201812310749833,20190529,20181231,749833
18,201812310749839,20190912,20181231,749839
19,201812310749844,20190103,20181231,749844
20,201812310749852,20200806,20181231,749852
21,201812310749855,20190105,20181231,749855
22,201812310749857,20190101,20181231,749857
23,201812310749859,20190910,20181231,749859
24,201812310749860,20200618,20181231,749860
25,201812310749861,20190120,20181231,749861
26,201812310749862,20191023,20181231,749862
27,201812310749864,20190414,20181231,749864
28,201812310749865,20190101,20181231,749865
29,201812310749866,20190209,20181231,749866
30,201812310749867,20190611,20181231,749867
31,201812310749873,20190714,20181231,749873
32,201812310749875,20190101,20181231,749875
33,201812310749876,20191102,20181231,749876
34,201812310749880,20200630,20181231,749880
35,201812310749883,20200620,20181231,749883
36,201812310749886,20190131,20181231,749886
37,201812310749887,20190101,20181231,749887
38,201812310749890,20190101,20181231,749890
39,201812310749896,20190923,20181231,749896
40,201812310749897,20190618,20181231,749897
41,201812310749901,20200730,20181231,749901
42,201812310749902,20190828,20181231,749902
43,201812310749903,20190211,20181231,749903
44,201812310749911,20200603,20181231,749911
45,201812310749915,20190101,20181231,749915
46,201812310749921,20190101,20181231,749921
47,201812310749924,20200721,20181231,749924
48,201812310749927,20191221,20181231,749927
49,201812310749932,20190128,20181231,749932
50,201812310749934,20190731,20181231,749934
51,201812310749939,20190101,20181231,749939
52,201812310749946,20190228,20181231,749946
53,201812310749948,20190225,20181231,749948
54,201812310749956,20190830,20181231,749956
55,201812310749957,20190101,20181231,749957
56,201812310749963,20200519,20181231,749963
57,201812310749966,20190924,20181231,749966
58,201812310749977,20190101,20181231,749977
59,201812310749979,20190817,20181231,749979
60,201812310749980,20190301,20181231,749980
61,201812310749982,20200623,20181231,749982
62,201812310749984,20190101,20181231,749984
63,201812310749988,20190220,20181231,749988
64,201812310749990,20190131,20181231,749990
65,201812310749991,20190325,20181231,749991
66,201812310749992,20191004,20181231,749992
67,201812310749995,20190302,20181231,749995
68,201812310749996,20190616,20181231,749996
69,201812310750003,20190125,20181231,750003
70,201812310750005,20200203,20181231,750005
71,201812310750006,20190326,20181231,750006
72,201812310750007,20190220,20181231,750007
73,201812310750008,20190903,20181231,750008
74,201812310750011,20200324,20181231,750011
75,201812310750012,20190723,20181231,750012
76,201812310750014,20190508,20181231,750014
77,201812310750017,20190101,20181231,750017
78,201812310750019,20190101,20181231,750019
79,201812310750021,20190101,20181231,750021
80,201812310750022,20190111,20181231,750022
81,201812310750026,20200602,20181231,750026
82,201812310750027,20190131,20181231,750027
83,201812310750028,20190212,20181231,750028
84,201812310750029,20200406,20181231,750029
85,201812310750036,20190410,20181231,750036
86,201812310750039,20200207,20181231,750039
87,201812310750043,20190701,20181231,750043
88,201812310750044,20190101,20181231,750044
89,201901010750038,20190225,20190101,750038
90,201901010750051,20190331,20190101,750051
91,201901010750054,20200218,20190101,750054
92,201901010750055,20190621,20190101,750055
93,201901010750061,20191022,20190101,750061
94,201901010750069,20191220,20190101,750069
95,201901010750070,20200512,20190101,750070
96,201901010750072,20200122,20190101,750072
97,201901010750073,20191212,20190101,750073
98,201901010750075,20190107,20190101,750075
99,201901010750079,20200310,20190101,750079
100,201901010750085,20190101,20190101,750085
101,201901010750089,20190101,20190101,750089
102,201901010750093,20191218,20190101,750093
103,201901010750094,20200116,20190101,750094
104,201901010750095,20200306,20190101,750095
105,201901010750103,20200110,20190101,750103
106,201901010750104,20191214,20190101,750104
107,201901010750106,20190622,20190101,750106
108,201901010750119,20190625,20190101,750119
109,201901010750120,20200326,20190101,750120
110,201901010750121,20190101,20190101,750121
111,201901010750123,20200205,20190101,750123
112,201901010750124,20190102,20190101,750124
113,201901010750125,20200722,20190101,750125
114,201901010750127,20190410,20190101,750127
115,201901010750128,20200730,20190101,750128
116,201901010750131,20190928,20190101,750131
117,201901010750132,20190329,20190101,750132
118,201901010750133,20190518,20190101,750133
119,201901010750143,20190101,20190101,750143
120,201901010750144,20190105,20190101,750144
121,201901010750145,20190101,20190101,750145
122,201901010750148,20190128,20190101,750148
123,201901010750151,20191129,20190101,750151
124,201901010750152,20190730,20190101,750152
125,201901010750158,20190218,20190101,750158
126,201901010750163,20190323,20190101,750163
127,201901010750167,20190204,20190101,750167
128,201901010750169,20190703,20190101,750169
129,201901010750173,20190324,20190101,750173
130,201901010750175,20190117,20190101,750175
131,201901010750177,20190217,20190101,750177
132,201901010750181,20200415,20190101,750181
133,201901010750182,20190624,20190101,750182
134,201901010750191,20190116,20190101,750191
135,201901010750192,20190301,20190101,750192
136,201901010750193,20190101,20190101,750193
137,201901010750196,20190101,20190101,750196
138,201901010750197,20191001,20190101,750197
139,201901010750198,20191007,20190101,750198
140,201901010750202,20190830,20190101,750202
141,201901010750206,20190101,20190101,750206
142,201901010750210,20190228,20190101,750210
143,201901010750215,20200730,20190101,750215
144,201901010750219,20200406,20190101,750219
145,201901010750221,20200625,20190101,750221
146,201901010750223,20190331,20190101,750223
147,201901010750228,20190309,20190101,750228
148,201901010750230,20190103,20190101,750230
149,201901010750235,20190720,20190101,750235
150,201901010750238,20190226,20190101,750238
151,201901010750241,20200702,20190101,750241
152,201901010750246,20190101,20190101,750246
153,201901010750248,20190626,20190101,750248
154,201901010750255,20190102,20190101,750255
155,201901010750257,20200728,20190101,750257
156,201901010750258,20190223,20190101,750258
157,201901010750264,20190730,20190101,750264
158,201901010750267,20191112,20190101,750267
159,201901010750269,20190101,20190101,750269
160,201901010750270,20200701,20190101,750270
161,201901010750271,20190428,20190101,750271
162,201901010750275,20200719,20190101,750275
163,201901010750276,20190105,20190101,750276
164,201901010750277,20200227,20190101,750277
165,201901010750279,20190124,20190101,750279
166,201901010750280,20190330,20190101,750280
167,201901010750282,20190520,20190101,750282
168,201901010750284,20190227,20190101,750284
169,201901010750287,20190829,20190101,750287
170,201901010750295,20190502,20190101,750295
171,201901010750297,20190210,20190101,750297
172,201901010750298,20200805,20190101,750298
173,201901010750300,20200414,20190101,750300
174,201901010750305,20190102,20190101,750305
175,201901010750318,20200711,20190101,750318
176,201901010750320,20190104,20190101,750320
177,201901010750321,20190511,20190101,750321
178,201901010750324,20190804,20190101,750324
179,201901010750326,20200519,20190101,750326
180,201901010750327,20190102,20190101,750327
181,201901010750330,20190622,20190101,750330
182,201901010750331,20190126,20190101,750331
183,201901010750332,20200429,20190101,750332
184,201901010750333,20190102,20190101,750333
185,201901010750335,20190216,20190101,750335
186,201901010750338,20190718,20190101,750338
187,201901010750339,20200513,20190101,750339
188,201901010750349,20190306,20190101,750349
189,201901010750350,20190412,20190101,750350
190,201901010750354,20190531,20190101,750354
191,201901010750359,20200405,20190101,750359
192,201901010750360,20200316,20190101,750360
193,201901010750361,20200724,20190101,750361
194,201901010750366,20190930,20190101,750366
195,201901010750369,20200506,20190101,750369
196,201901010750374,20200226,20190101,750374
197,201901010750383,20191011,20190101,750383
198,201901010750384,20191217,20190101,750384
199,201901010750385,20190825,20190101,750385
200,201901010750389,20200715,20190101,750389
201,201901010750391,20190131,20190101,750391
202,201901010750392,20200731,20190101,750392
203,201901010750394,20190107,20190101,750394
204,201901010750395,20200113,20190101,750395
205,201901010750399,20190102,20190101,750399
206,201901010750401,20200521,20190101,750401
207,201901010750409,20190516,20190101,750409
208,201901010750411,20200311,20190101,750411
209,201901010750416,20190102,20190101,750416
210,201901010750418,20200302,20190101,750418
211,201901010750425,20200730,20190101,750425
212,201901010750428,20200208,20190101,750428
213,201901010750434,20190725,20190101,750434
214,201901010750439,20190102,20190101,750439
215,201901010750441,20191018,20190101,750441
216,201901010750443,20191023,20190101,750443
