,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
4,frozenset({'수유용품'}),frozenset({'아이_생활용품'}),0.22734026745913818,0.07334864244225314,0.03228420910441713,0.14200831847890671,1.9360728944739345,0.015609109113830604,1.0800237082892576
5,frozenset({'아이_생활용품'}),frozenset({'수유용품'}),0.07334864244225314,0.22734026745913818,0.03228420910441713,0.44014732965009207,1.9360728944739345,0.015609109113830604,1.3801126143739735
2,frozenset({'생리대'}),frozenset({'티슈'}),0.10225584222612455,0.18343914629204378,0.031608807240307984,0.309114927344782,1.685108841777188,0.012851082838973776,1.1819054804147664
3,frozenset({'티슈'}),frozenset({'생리대'}),0.18343914629204378,0.10225584222612455,0.031608807240307984,0.1723122238586156,1.685108841777188,0.012851082838973776,1.0846410731823157
8,frozenset({'티슈'}),frozenset({'주방용품'}),0.18343914629204378,0.10549777117384844,0.03201404835877347,0.17452135493372606,1.654265800991516,0.01266162727892933,1.0836164377751238
9,frozenset({'주방용품'}),frozenset({'티슈'}),0.10549777117384844,0.18343914629204378,0.03201404835877347,0.3034571062740077,1.654265800991516,0.01266162727892933,1.1723051962241064
7,frozenset({'주방용품'}),frozenset({'수유용품'}),0.10549777117384844,0.22734026745913818,0.03322977171416993,0.31498079385403327,1.3855037533579373,0.009245880199164266,1.127938787129744
6,frozenset({'수유용품'}),frozenset({'주방용품'}),0.22734026745913818,0.10549777117384844,0.03322977171416993,0.1461675579322638,1.385503753357937,0.009245880199164266,1.0476320467045324
0,frozenset({'기저귀'}),frozenset({'아이_생활용품'}),0.3489126029987843,0.07334864244225314,0.0321491287315953,0.09214092140921408,1.2562048640744232,0.006556862970641647,1.0206995550412197
1,frozenset({'아이_생활용품'}),frozenset({'기저귀'}),0.07334864244225314,0.3489126029987843,0.0321491287315953,0.438305709023941,1.2562048640744232,0.006556862970641647,1.1591490379398692
