,주문번호,구매일,배송시작일,배송완료일,구매시월령(수정),고객번호,구매금액,결제금액,물품대분류,상품명,수량추정,구매월,할인율,성별,결혼유무,거주지역,연령,결제등록카드,유입경로,자녀여부,recendancy,frequency,monetary,rfm,총구매금액,배송기간
173,201905202392233,2019-05-21,2019-05-22,2019-05-25,,201812310749934,12900,9692,수유용품,더블하트 SofTouch 모유실감 젖꼭지 M (2입),1.0,2019-05,0.25,여,기혼,제주,32.0,롯데카드,네이버카페,Yes,1.0,0.2,0.2,3,19394,4
174,201907312673719,2019-07-31,2019-08-01,2019-08-03,-9.0,201812310749934,12900,9702,수유용품,더블하트 SofTouch 모유실감 젖꼭지 L (2입),1.0,2019-07,0.25,여,기혼,제주,32.0,롯데카드,네이버카페,Yes,1.0,0.2,0.2,3,19394,3
401,201901311974306,2019-01-31,2019-02-01,2019-02-03,,201901010750181,14000,9642,티슈,크리넥스 디럭스 신수성 리미티드 250매X3개입,2.0,2019-01,0.31,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
402,201904012226853,2019-04-01,2019-04-02,2019-04-05,,201901010750181,2860,1920,주방용품,스카트 하루한장 양면수세미 설거지용 10매,1.0,2019-04,0.33,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,4
403,201907152593298,2019-07-15,2019-07-16,2019-07-18,,201901010750181,16700,12592,티슈,크리넥스 순수 3겹 소프트 27m-30롤,1.0,2019-07,0.25,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
404,201907232629708,2019-07-23,2019-07-24,2019-07-26,,201901010750181,11400,8118,생리대,화이트 시크릿홀 가든프레시뉴 울트라 날개 대형 16개입,2.0,2019-07,0.29,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
405,201907252636394,2019-07-25,2019-07-26,2019-07-30,,201901010750181,16700,12592,티슈,크리넥스 순수 3겹 소프트 27m-30롤,1.0,2019-07,0.25,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,5
406,201907292650822,2019-07-29,2019-07-30,2019-08-01,,201901010750181,7800,7722,생리대,좋은느낌 순수 울트라 날개 대형 16개입,3.0,2019-07,0.01,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
407,201908022684184,2019-08-03,2019-08-04,2019-08-07,,201901010750181,11400,8118,생리대,화이트 시크릿홀 가든프레시뉴 울트라 날개 대형 16개입,2.0,2019-08,0.29,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,4
408,201908142722662,2019-08-14,2019-08-15,2019-08-17,,201901010750181,12200,10870,생리대,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,2.0,2019-08,0.11,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
409,201909232864205,2019-09-23,2019-09-24,2019-09-26,-9.0,201901010750181,6100,4890,생리대,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,1.0,2019-09,0.2,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
410,201909252871202,2019-09-25,2019-09-26,2019-09-28,-9.0,201901010750181,6100,4890,생리대,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,1.0,2019-09,0.2,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
411,201910052906016,2019-10-05,2019-10-06,2019-10-08,-9.0,201901010750181,10400,9264,생리대,좋은느낌 순수 울트라 날개 대형 16개입,4.0,2019-10,0.11,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
412,201910132940005,2019-10-13,2019-10-14,2019-10-16,-9.0,201901010750181,10400,9264,생리대,좋은느낌 순수 울트라 날개 대형 16개입,4.0,2019-10,0.11,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
413,201911053042132,2019-11-05,2019-11-06,2019-11-10,-8.0,201901010750181,2600,2574,생리대,좋은느낌 순수 울트라 날개 대형 16개입,1.0,2019-11,0.01,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,5
414,201911073047202,2019-11-07,2019-11-08,2019-11-10,-8.0,201901010750181,2600,2574,생리대,좋은느낌 순수 울트라 날개 대형 16개입,1.0,2019-11,0.01,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
415,201911213082064,2019-11-21,2019-11-22,2019-11-24,-8.0,201901010750181,2600,2316,생리대,좋은느낌 순수 울트라 날개 대형 16개입,1.0,2019-11,0.11,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
416,201911253092523,2019-11-25,2019-11-26,2019-11-28,-7.0,201901010750181,2600,2316,생리대,좋은느낌 순수 울트라 날개 대형 16개입,1.0,2019-11,0.11,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
417,201912013113727,2019-12-01,2019-12-02,2019-12-06,-7.0,201901010750181,2600,2316,생리대,좋은느낌 순수 울트라 날개 대형 16개입,1.0,2019-12,0.11,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,5
418,201912103138550,2019-12-10,2019-12-11,2019-12-13,-7.0,201901010750181,12200,9780,생리대,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,2.0,2019-12,0.2,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
419,201912183186772,2019-12-18,2019-12-19,2019-12-21,-7.0,201901010750181,18300,12204,생리대,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,3.0,2019-12,0.33,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
420,202001223325377,2020-01-22,2020-01-23,2020-01-26,-6.0,201901010750181,8800,6966,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-01,0.21,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,4
421,202002063375537,2020-02-06,2020-02-07,2020-02-09,-5.0,201901010750181,8800,7662,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-02,0.13,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
422,202002243440803,2020-02-24,2020-02-25,2020-02-27,-4.0,201901010750181,8800,7662,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-02,0.13,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
423,202002263452761,2020-02-26,2020-02-27,2020-02-29,-4.0,201901010750181,8800,7662,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-02,0.13,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
424,202004063627905,2020-04-06,2020-04-07,2020-04-10,-3.0,201901010750181,8800,7662,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-04,0.13,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,4
425,202004083637365,2020-04-08,2020-04-09,2020-04-11,-3.0,201901010750181,8800,7662,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-04,0.13,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
426,202004103648539,2020-04-11,2020-04-12,2020-04-14,-3.0,201901010750181,8800,7662,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-04,0.13,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
427,202004123653912,2020-04-12,2020-04-13,2020-04-15,-3.0,201901010750181,8800,7662,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-04,0.13,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
428,202004143662967,2020-04-15,2020-04-16,2020-04-18,-3.0,201901010750181,8800,7662,마스크,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,1.06024096385542,2020-04,0.13,남,기혼,경상,36.0,신한은행,검색광고,Yes,0.4,1.0,0.6,5,202224,3
935,201904012230167,2019-04-02,2019-04-03,2019-04-06,,201901020750638,15040,10048,청결용품,그린핑거 마이키즈 워시 320ml,1.0,2019-04,0.33,여,기혼,서울,31.0,롯데카드,인스타그램,No,0.8,0.4,0.2,4,27574,4
936,201907172612604,2019-07-18,2019-07-19,2019-07-22,,201901020750638,12300,8850,청결용품,도브 뷰티너리싱 바디워시 1kg X 2,1.0,2019-07,0.28,여,기혼,서울,31.0,롯데카드,인스타그램,No,0.8,0.4,0.2,4,27574,4
