고객번호,물품대분류,두번째구매까지기간
201812310749735,수유용품,291
201812310749774,3단계,80
201812310749783,생리대,165
201812310749784,이벤트,56
201812310749787,2단계,20
201812310749792,수유용품,44
201812310749816,수유용품,0
201812310749817,티슈,51
201812310749820,5단계,93
201812310749821,수유용품,164
201812310749826,수유용품,27
201812310749827,이벤트,62
201812310749831,티슈,72
201812310749839,수유용품,146
201812310749844,수유용품,0
201812310749852,수유용품,219
201812310749862,수유용품,295
201812310749864,수유용품,0
201812310749866,2단계,40
201812310749867,주방용품,0
201812310749876,2단계,55
201812310749880,생리대,0
201812310749883,음식,0
201812310749886,수유용품,5
201812310749890,티슈,0
201812310749896,이벤트,15
201812310749901,아이_생활용품,20
201812310749902,주방용품,0
201812310749911,2단계,383
201812310749918,생리대,215
201812310749924,티슈,28
201812310749927,이벤트,159
201812310749932,이벤트,0
201812310749934,수유용품,72
201812310749946,이벤트,57
201812310749956,수유용품,43
201812310749963,화장품,14
201812310749966,2단계,114
201812310749980,주방용품,0
201812310749982,티슈,1
201812310749991,1단계,29
201812310749992,2단계,30
201812310749995,수유용품,1
201812310750005,이벤트,25
201812310750007,4단계,50
201812310750008,수유용품,2
201812310750011,청결용품,235
201812310750012,아이_생활용품,78
201812310750014,1단계,122
201812310750026,티슈,0
201812310750029,이벤트,55
201812310750039,수유용품,49
201812310750043,2단계,56
201901010750038,수유용품,53
201901010750051,2단계,41
201901010750054,이벤트,86
201901010750069,수유용품,119
201901010750070,4단계,171
201901010750072,이벤트,93
201901010750073,이벤트,42
201901010750075,이벤트,6
201901010750079,2단계,268
201901010750093,아이_생활용품,84
201901010750094,2단계,30
201901010750095,티슈,58
201901010750104,이벤트,71
201901010750106,1단계,99
201901010750119,아이_생활용품,160
201901010750120,어른_생활용품,76
201901010750123,2단계,147
201901010750125,이벤트,262
201901010750127,수유용품,31
201901010750128,생리대,124
201901010750131,2단계,20
201901010750133,이벤트,0
201901010750148,2단계,26
201901010750151,수유용품,20
201901010750157,생리대,205
201901010750158,수유용품,0
201901010750163,2단계,16
201901010750165,생리대,251
201901010750169,6단계,0
201901010750173,주방용품,39
201901010750175,장난감,0
201901010750177,1단계,13
201901010750181,티슈,60
201901010750182,4단계,50
201901010750183,티슈,262
201901010750197,이벤트,168
201901010750198,이벤트,0
201901010750202,주방용품,152
201901010750210,마스크,30
201901010750215,어른_생활용품,517
201901010750219,마스크,207
201901010750221,티슈,207
201901010750228,수유용품,0
201901010750238,1단계,20
201901010750241,4단계,60
201901010750257,티슈,220
201901010750264,이벤트,209
201901010750267,2단계,242
201901010750270,티슈,285
201901010750271,이벤트,0
201901010750275,2단계,22
201901010750277,2단계,133
201901010750279,4단계,22
201901010750282,2단계,139
201901010750295,주방용품,0
201901010750298,마스크,144
201901010750299,티슈,221
201901010750300,3단계,23
201901010750318,이벤트,0
201901010750320,2단계,3
201901010750321,이벤트,36
201901010750324,2단계,24
201901010750326,티슈,330
201901010750339,2단계,69
201901010750345,티슈,36
201901010750349,3단계,12
201901010750352,생리대,293
201901010750354,3단계,29
201901010750359,수유용품,40
201901010750360,3단계,26
201901010750361,아이_생활용품,94
201901010750366,어른_생활용품,182
201901010750374,이벤트,53
201901010750375,수유용품,0
201901010750384,생리대,54
201901010750385,2단계,27
201901010750389,수유용품,73
201901010750392,마스크,58
201901010750395,수유용품,42
201901010750401,아이_생활용품,43
201901010750409,이벤트,0
201901010750411,수유용품,16
201901010750416,수유용품,0
201901010750418,이벤트,16
201901010750425,이벤트,100
201901010750428,1단계,121
201901010750434,4단계,0
201901010750441,티슈,271
201901010750444,이벤트,119
201901010750447,티슈,28
201901010750457,마스크,105
201901010750459,티슈,30
201901010750462,이벤트,65
201901010750467,티슈,113
201901010750469,장난감,7
201901010750474,티슈,264
201901010750475,주방용품,32
201901010750477,4단계,71
201901010750481,티슈,295
201901010750482,이벤트,0
201901010750483,티슈,31
201901010750486,이벤트,36
201901010750498,이벤트,50
201901010750504,주방용품,33
201901010750512,이벤트,242
201901010750514,티슈,157
201901010750520,이벤트,194
201901010750526,수유용품,0
201901010750527,4단계,7
201901010750528,마스크,2
201901010750529,2단계,87
201901010750537,수유용품,5
201901010750538,수유용품,0
201901010750542,이벤트,0
201901010750543,마스크,4
201901010750548,마스크,167
201901010750549,생리대,63
201901010750550,티슈,63
201901010750556,아이_생활용품,0
201901010750557,5단계,60
201901010750558,수유용품,0
201901010750560,3단계,3
201901010750563,수유용품,54
201901010750570,2단계,72
201901010750571,주방용품,0
201901010750575,화장품,0
201901010750577,주방용품,86
201901010750580,티슈,15
201901010750581,티슈,0
201901010750582,티슈,0
201901010750589,티슈,164
201901010750599,생리대,55
201901010750600,주방용품,51
201901020750596,청결용품,56
201901020750601,티슈,56
201901020750612,2단계,37
201901020750613,수유용품,0
201901020750626,수유용품,0
201901020750630,6단계,229
201901020750633,생리대,77
201901020750635,장난감,205
201901020750636,화장품,98
201901020750638,청결용품,107
201901020750650,청결용품,362
201901020750651,주방용품,391
201901020750657,생리대,32
201901020750658,마스크,31
201901020750661,생리대,0
201901020750663,생리대,81
201901020750669,3단계,67
201901020750674,수유용품,0
201901020750682,수유용품,0
201901020750685,아이_생활용품,26
201901020750688,수유용품,4
201901020750701,이벤트,0
201901020750708,수유용품,23
201901020750714,수유용품,0
201901020750725,수유용품,19
201901020750731,수유용품,85
201901020750744,수유용품,172
201901020750748,수유용품,72
201901020750751,티슈,0
201901020750754,2단계,293
201901020750755,주방용품,25
201901020750758,수유용품,24
201901020750759,4단계,29
201901020750760,수유용품,138
201901020750767,아이_생활용품,2
201901020750768,이벤트,0
201901020750769,2단계,398
201901020750776,2단계,51
201901020750790,수유용품,75
201901020750793,생리대,136
201901020750799,2단계,142
201901020750806,주방용품,46
201901020750809,이벤트,5
201901020750811,4단계,33
201901020750814,이벤트,77
201901020750818,수유용품,67
201901020750822,청결용품,0
201901020750841,생리대,27
201901020750844,2단계,337
201901020750848,이벤트,43
201901020750851,이벤트,140
201901020750855,주방용품,99
201901020750858,2단계,39
201901020750862,마스크,426
201901020750869,3단계,0
201901020750875,5단계,108
201901020750884,2단계,33
201901020750885,2단계,18
201901020750900,이벤트,0
201901020750909,3단계,13
201901020750927,이벤트,0
201901020750939,1단계,1
201901020750940,이벤트,29
201901020750941,3단계,19
201901020750944,1단계,31
201901020750946,마스크,30
201901020750948,티슈,0
201901020750950,수유용품,39
201901020750955,5단계,53
201901020750957,생리대,176
201901020750971,2단계,2
201901020750974,청결용품,445
201901020750976,수유용품,76
201901020750977,2단계,5
201901020750982,티슈,15
201901020750984,수유용품,46
201901020750989,마스크,25
201901020751021,2단계,132
201901020751022,이벤트,128
201901020751025,수유용품,31
201901020751032,3단계,28
201901020751034,생리대,141
201901020751038,3단계,122
201901020751042,아이_생활용품,65
201901020751043,티슈,14
201901020751053,주방용품,0
201901020751056,생리대,31
201901020751063,티슈,24
201901020751083,주방용품,39
201901020751085,주방용품,28
201901020751088,생리대,21
201901020751095,생리대,0
201901020751103,생리대,192
201901020751106,티슈,34
201901020751110,2단계,148
201901020751113,3단계,58
201901020751114,이벤트,0
201901020751115,수유용품,28
201901020751117,3단계,24
201901020751118,이벤트,151
201901020751129,이벤트,88
201901020751144,2단계,4
201901020751145,6단계,9
201901020751150,생리대,54
201901020751153,3단계,17
201901020751157,수유용품,10
201901020751165,2단계,16
201901020751172,아이_생활용품,60
201901020751184,1단계,15
201901020751185,생리대,0
201901020751193,이벤트,13
201901020751196,화장품,0
201901020751198,생리대,0
201901020751201,티슈,0
201901020751209,생리대,13
201901020751222,청결용품,23
201901020751224,이벤트,0
201901020751225,이벤트,91
201901020751233,이벤트,60
201901020751234,2단계,45
201901020751235,주방용품,207
201901020751237,아이_생활용품,0
201901020751241,6단계,163
201901020751242,티슈,0
201901020751246,화장품,273
201901020751250,3단계,0
201901020751251,주방용품,36
201901020751252,생리대,0
201901020751253,1단계,76
201901020751255,티슈,0
201901020751256,4단계,12
201901020751262,2단계,75
201901020751263,수유용품,0
201901020751270,이벤트,58
201901020751280,이벤트,58
201901020751293,수유용품,1
201901020751298,수유용품,49
201901020751299,2단계,139
201901020751301,마스크,48
201901020751311,주방용품,147
201901020751315,음식,71
201901020751322,티슈,106
201901020751335,수유용품,39
201901020751340,2단계,0
201901020751341,수유용품,28
201901020751346,주방용품,238
201901020751351,생리대,6
201901020751362,수유용품,223
201901030751358,장난감,11
201901030751370,이벤트,130
201901030751371,2단계,46
201901030751376,6단계,54
201901030751379,6단계,168
201901030751382,이벤트,0
201901030751393,수유용품,77
201901030751402,2단계,154
201901030751408,1단계,103
201901030751425,주방용품,115
201901030751426,수유용품,181
201901030751428,2단계,0
201901030751429,3단계,29
201901030751430,마스크,0
201901030751440,3단계,27
201901030751452,이벤트,43
201901030751483,수유용품,174
201901030751490,5단계,24
201901030751506,청결용품,0
201901030751525,아이_생활용품,48
201901030751529,티슈,488
201901030751540,4단계,76
201901030751544,5단계,0
201901030751561,생리대,154
201901030751583,수유용품,136
201901030751585,수유용품,0
201901030751586,이벤트,572
201901030751597,3단계,25
201901030751600,주방용품,23
201901030751620,화장품,0
201901030751621,2단계,53
201901030751627,수유용품,359
201901030751629,수유용품,110
201901030751630,수유용품,156
201901030751631,이벤트,349
201901030751639,이벤트,35
201901030751649,마스크,164
201901030751653,3단계,337
201901030751670,주방용품,255
201901030751671,2단계,102
201901030751685,3단계,62
201901030751688,3단계,59
201901030751701,생리대,0
201901030751704,아이_생활용품,36
201901030751715,3단계,0
201901030751736,음식,234
201901030751740,아이_생활용품,150
201901030751745,2단계,12
201901030751746,수유용품,0
201901030751758,수유용품,5
201901030751776,마스크,396
201901030751777,6단계,17
201901030751780,어른_생활용품,259
201901030751781,화장품,0
201901030751787,수유용품,5
201901030751801,수유용품,40
201901030751805,수유용품,0
201901030751806,이벤트,102
201901030751809,주방용품,0
201901030751819,수유용품,0
201901030751827,3단계,38
201901030751828,2단계,20
201901030751841,1단계,41
201901030751848,수유용품,53
201901030751853,이벤트,137
201901030751862,수유용품,0
201901030751881,이벤트,0
201901030751883,6단계,143
201901030751886,이벤트,48
201901030751889,이벤트,86
201901030751890,3단계,18
201901030751896,주방용품,83
201901030751901,티슈,6
201901030751907,수유용품,46
201901030751931,주방용품,173
201901030751932,2단계,24
201901030751942,생리대,143
201901030751945,수유용품,22
201901030751964,생리대,143
201901030751972,아이_생활용품,48
201901030751976,2단계,43
201901030751982,4단계,117
201901030751988,이벤트,112
201901030751989,티슈,0
201901030751995,3단계,87
201901030751997,장난감,5
201901030752008,티슈,0
201901030752013,이벤트,98
201901030752016,수유용품,180
201901030752017,이벤트,344
201901030752020,주방용품,32
201901030752029,수유용품,14
201901030752038,마스크,0
201901030752047,3단계,106
201901030752051,티슈,0
201901030752052,생리대,46
201901030752055,3단계,25
201901030752061,3단계,0
201901030752062,마스크,0
201901030752072,2단계,0
201901030752081,수유용품,1
201901030752087,2단계,3
201901030752094,이벤트,58
201901030752101,수유용품,22
201901040752112,2단계,242
201901040752114,아이_생활용품,0
201901040752117,3단계,103
201901040752132,2단계,25
201901040752142,주방용품,83
201901040752143,주방용품,78
201901040752145,2단계,17
201901040752153,수유용품,101
201901040752155,마스크,0
201901040752161,4단계,111
201901040752171,2단계,93
201901040752175,수유용품,60
201901040752177,생리대,30
201901040752182,마스크,2
201901040752185,5단계,26
201901040752186,1단계,22
201901040752196,수유용품,33
201901040752203,수유용품,69
201901040752236,수유용품,0
201901040752246,화장품,0
201901040752249,수유용품,91
201901040752260,2단계,284
201901040752268,이벤트,29
201901040752271,티슈,50
201901040752273,음식,71
201901040752274,수유용품,0
201901040752290,수유용품,0
201901040752300,2단계,27
201901040752309,수유용품,95
201901040752315,주방용품,45
201901040752322,수유용품,0
201901040752331,이벤트,0
201901040752338,티슈,0
201901040752361,3단계,39
201901040752362,수유용품,56
201901040752367,아이_생활용품,81
201901040752375,티슈,0
201901040752397,주방용품,48
201901040752404,수유용품,0
201901040752410,수유용품,29
201901040752413,5단계,22
201901040752417,3단계,88
201901040752425,3단계,35
201901040752432,수유용품,0
201901040752451,3단계,72
201901040752456,티슈,52
201901040752458,이벤트,514
201901040752459,2단계,26
201901040752464,수유용품,0
201901040752481,수유용품,0
201901040752488,수유용품,0
201901040752491,2단계,0
201901040752494,3단계,36
201901040752500,청결용품,0
201901040752501,3단계,146
201901040752534,이벤트,42
201901040752540,주방용품,303
201901040752549,어른_생활용품,0
201901040752562,화장품,0
201901040752582,수유용품,25
201901040752586,이벤트,51
201901040752591,6단계,288
201901040752596,3단계,78
201901040752597,주방용품,28
201901040752600,주방용품,0
201901040752605,수유용품,0
201901040752607,이벤트,46
201901040752612,3단계,25
201901040752616,수유용품,125
201901040752620,2단계,74
201901040752621,수유용품,32
201901040752653,3단계,23
201901040752656,아이_생활용품,16
201901040752658,이벤트,97
201901040752660,수유용품,0
201901040752661,이벤트,0
201901040752667,4단계,73
201901040752681,수유용품,59
201901040752685,이벤트,0
201901040752715,이벤트,265
201901040752716,아이_생활용품,0
201901040752717,수유용품,32
201901040752736,2단계,0
201901040752739,2단계,45
201901040752741,티슈,0
201901040752755,마스크,59
201901040752756,5단계,52
201901040752774,이벤트,67
201901040752781,주방용품,61
201901040752783,수유용품,136
201901040752796,이벤트,262
201901040752799,수유용품,0
201901040752807,2단계,17
201901040752816,2단계,22
201901040752821,아이_생활용품,88
201901040752833,수유용품,239
201901040752835,2단계,16
201901040752847,이벤트,240
201901040752848,아이_생활용품,83
201901040752866,화장품,0
201901040752869,티슈,0
201901040752870,수유용품,4
201901040752879,3단계,44
201901040752884,2단계,14
201901050752872,2단계,0
201901050752900,생리대,47
201901050752906,수유용품,23
201901050752912,이벤트,80
201901050752917,수유용품,82
201901050752927,수유용품,179
201901050752940,수유용품,0
201901050752943,수유용품,0
201901050752950,수유용품,99
201901050752954,아이_생활용품,135
201901050752959,3단계,211
201901050752964,1단계,214
201901050752974,수유용품,0
201901050752975,이벤트,0
201901050752991,아이_생활용품,31
201901050753008,수유용품,84
201901050753020,마스크,0
201901050753033,4단계,333
201901050753036,생리대,57
201901050753041,어른_생활용품,116
201901050753048,청결용품,25
201901050753057,생리대,154
201901050753081,수유용품,0
201901050753084,2단계,26
201901050753086,생리대,79
201901050753091,3단계,78
201901050753094,1단계,0
201901050753102,3단계,31
201901050753126,수유용품,0
201901050753130,수유용품,0
201901050753131,티슈,83
201901050753133,이벤트,0
201901050753138,4단계,3
201901050753145,생리대,0
201901050753150,3단계,162
201901050753156,수유용품,25
201901050753158,이벤트,163
201901050753160,2단계,0
201901050753163,3단계,1
201901050753172,어른_생활용품,125
201901050753174,이벤트,32
201901050753175,2단계,25
201901050753183,2단계,34
201901050753192,2단계,246
201901050753196,수유용품,0
201901050753200,수유용품,0
201901050753235,수유용품,179
201901050753238,수유용품,209
201901050753252,티슈,0
201901050753253,2단계,0
201901050753259,이벤트,0
201901050753265,이벤트,95
201901050753275,2단계,19
201901050753276,2단계,56
201901050753280,주방용품,0
201901050753281,주방용품,22
201901050753283,수유용품,21
201901050753291,4단계,32
201901050753300,화장품,0
201901050753304,수유용품,79
201901050753309,주방용품,84
201901050753310,화장품,0
201901050753314,2단계,0
201901050753317,수유용품,0
201901050753318,2단계,55
201901050753324,3단계,0
201901050753330,이벤트,0
201901050753331,3단계,32
201901050753336,수유용품,0
201901050753340,청결용품,0
201901050753354,이벤트,155
201901050753358,이벤트,367
201901050753371,생리대,205
201901050753374,생리대,32
201901050753379,2단계,275
201901050753385,수유용품,50
201901050753393,이벤트,1
201901050753395,화장품,0
201901050753399,수유용품,89
201901050753400,2단계,31
201901050753408,수유용품,94
201901050753428,수유용품,99
201901050753435,티슈,189
201901050753441,티슈,27
201901050753442,2단계,62
201901050753443,3단계,77
201901050753449,3단계,1
201901050753451,2단계,10
201901050753453,어른_생활용품,1
201901050753463,이벤트,113
201901050753470,화장품,129
201901050753483,5단계,224
201901060753513,1단계,2
201901060753515,수유용품,20
201901060753516,마스크,0
201901060753521,청결용품,52
201901060753530,어른_생활용품,0
201901060753537,3단계,196
201901060753538,3단계,80
201901060753539,생리대,46
201901060753549,수유용품,21
201901060753558,수유용품,119
201901060753560,1단계,90
201901060753561,4단계,34
201901060753569,2단계,204
201901060753577,수유용품,0
201901060753592,4단계,26
201901060753602,수유용품,14
201901060753604,수유용품,42
201901060753613,수유용품,453
201901060753619,주방용품,188
201901060753621,2단계,37
201901060753622,이벤트,53
201901060753627,3단계,161
201901060753647,5단계,29
201901060753648,2단계,16
201901060753649,2단계,0
201901060753655,수유용품,2
201901060753661,아이_생활용품,114
201901060753664,이벤트,47
201901060753684,수유용품,0
201901060753691,마스크,0
201901060753700,수유용품,10
201901060753703,이벤트,0
201901060753704,이벤트,219
201901060753714,2단계,109
201901060753715,수유용품,5
201901060753731,2단계,0
201901060753732,티슈,0
201901060753736,주방용품,200
201901060753737,생리대,156
201901060753748,2단계,48
201901060753756,수유용품,0
201901060753765,주방용품,0
201901060753775,3단계,201
201901060753777,이벤트,124
201901060753780,티슈,0
201901060753783,1단계,73
201901060753789,2단계,0
201901060753797,수유용품,210
201901060753798,이벤트,1
201901060753799,2단계,0
201901060753811,4단계,276
201901060753816,수유용품,3
201901060753836,1단계,19
201901060753844,4단계,0
201901060753846,수유용품,85
201901060753854,티슈,187
201901060753858,3단계,24
201901060753861,수유용품,0
201901060753863,이벤트,25
201901060753875,2단계,171
201901060753876,2단계,318
201901060753877,수유용품,0
201901060753878,2단계,94
201901060753882,아이_생활용품,20
201901060753901,장난감,41
201901060753908,3단계,197
201901060753910,수유용품,194
201901060753917,수유용품,7
201901060753921,1단계,5
201901060753928,수유용품,1
201901060753940,수유용품,0
201901060753946,4단계,38
201901060753948,티슈,0
201901060753950,티슈,89
201901060753954,2단계,176
201901060753963,이벤트,24
201901060753970,5단계,0
201901060753973,3단계,0
201901060753981,수유용품,33
201901060753982,2단계,68
201901060753986,1단계,53
201901060753988,수유용품,35
201901060753991,5단계,393
201901060753996,3단계,28
201901060753998,이벤트,0
201901060754006,주방용품,13
201901060754007,이벤트,0
201901060754026,수유용품,0
201901060754042,2단계,157
201901060754058,이벤트,106
201901060754065,이벤트,39
201901060754067,수유용품,80
201901060754072,생리대,139
201901060754074,마스크,40
201901060754075,주방용품,11
201901060754078,주방용품,31
201901060754082,이벤트,40
201901060754085,수유용품,95
201901060754086,3단계,34
201901060754097,2단계,0
201901060754102,이벤트,193
201901060754103,3단계,191
201901060754106,주방용품,295
201901060754108,수유용품,62
201901060754117,티슈,0
201901060754118,이벤트,0
201901060754120,3단계,21
201901060754122,3단계,75
201901060754123,이벤트,0
201901060754127,수유용품,0
201901060754132,1단계,51
201901060754135,3단계,21
201901060754144,티슈,178
201901060754148,3단계,41
201901060754149,수유용품,146
201901060754151,수유용품,0
201901060754153,주방용품,217
201901060754156,아이_생활용품,33
201901060754161,2단계,44
201901060754162,수유용품,36
201901060754179,생리대,0
201901060754181,수유용품,45
201901070754169,생리대,95
201901070754174,이벤트,17
201901070754176,어른_생활용품,33
201901070754182,5단계,42
201901070754183,3단계,5
201901070754185,수유용품,0
201901070754188,2단계,80
201901070754189,1단계,34
201901070754192,4단계,16
201901070754199,1단계,2
201901070754200,이벤트,0
201901070754207,6단계,0
201901070754209,수유용품,4
201901070754212,3단계,324
201901070754218,5단계,71
201901070754220,5단계,124
201901070754226,주방용품,0
201901070754240,수유용품,10
201901070754245,이벤트,0
201901070754266,수유용품,3
201901070754269,3단계,42
201901070754271,마스크,35
201901070754275,주방용품,62
201901070754277,1단계,9
201901070754280,2단계,68
201901070754282,어른_생활용품,111
201901070754284,이벤트,299
201901070754290,2단계,93
201901070754293,수유용품,157
201901070754295,이벤트,143
201901070754301,1단계,15
201901070754309,주방용품,0
201901070754311,티슈,0
201901070754315,3단계,48
201901070754330,이벤트,0
201901070754339,3단계,0
201901070754346,장난감,63
201901070754360,수유용품,112
201901070754378,5단계,163
201901070754395,4단계,1
201901070754411,1단계,275
201901070754434,2단계,23
201901070754437,3단계,25
201901070754440,어른_생활용품,0
201901070754458,수유용품,59
201901070754460,3단계,0
201901070754469,티슈,0
201901070754471,수유용품,0
201901070754476,이벤트,0
201901070754479,2단계,0
201901070754482,티슈,166
201901070754483,화장품,7
201901070754484,수유용품,0
201901070754490,4단계,0
201901070754493,5단계,0
201901070754503,주방용품,85
201901070754505,5단계,199
201901070754515,2단계,63
201901070754528,티슈,93
201901070754530,청결용품,37
201901070754532,수유용품,32
201901070754542,1단계,0
201901070754561,1단계,83
201901070754565,2단계,19
201901070754566,어른_생활용품,184
201901070754568,수유용품,0
201901070754569,수유용품,252
201901070754571,수유용품,0
201901070754576,수유용품,14
201901070754588,수유용품,219
201901070754591,3단계,93
201901070754615,2단계,19
201901070754618,4단계,58
201901070754629,6단계,44
201901070754642,수유용품,0
201901070754644,수유용품,0
201901070754660,아이_생활용품,0
201901070754669,티슈,25
201901070754671,주방용품,0
201901070754675,이벤트,61
201901070754682,수유용품,0
201901070754684,3단계,208
201901070754693,5단계,0
201901070754703,주방용품,24
201901070754713,수유용품,19
201901070754717,수유용품,0
201901070754720,5단계,0
201901070754722,수유용품,110
201901070754742,3단계,14
201901070754744,생리대,459
201901070754750,이벤트,0
201901070754753,이벤트,41
201901070754762,청결용품,0
201901070754769,3단계,0
201901070754771,이벤트,0
201901070754782,수유용품,0
201901070754787,이벤트,0
201901070754790,1단계,16
201901070754800,티슈,57
201901070754810,2단계,7
201901070754811,수유용품,89
201901070754812,수유용품,0
