순번,생산라인코드,생산라인명,품목코드,품목명,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,생산일자
3,C001,쿠커 #1,23K01312,서비스면양념장(재),W003,71.669852765,96.769852765,131.74200276,23.315,201.844,70.37,2021-01-03
1,C002,쿠커 #2,23V00019,고구마샐러드믹스베이스(재),W003,70.386479899,102.0864799,136.9260799,23.226,212.043,70.83,2021-01-03
13,C003,쿠커 #3,1.#JE+00,이마트가쓰오다시국물(재),W003,71.206130031,112.30613003,147.57968003,23.516,208.781,73.55,2021-01-03
7,C005,2동 쿠커 #4,26A01006,고구마샐러드바145g(재),W003,70.43056511,96.03056511,131.56916511,23.692,208.269,74.81,2021-01-03
2,C007,프리머 #1,26B06024,이츠웰골드마요네즈1kg(재),W003,72.179318503,114.0793185,149.9280685,23.899,211.625,73.4,2021-01-03
4,D004,PET병,13D02142,참깨흑임자드레싱100g,W005,72.67447467,108.57447467,143.51072467,23.291,212.419,71.92,2021-01-03
5,D004,PET병,13D02142,참깨흑임자드레싱100g,W005,71.725981745,86.825981745,122.31113175,23.657,209.525,72.75,2021-01-03
6,D004,PET병,13D02142,참깨흑임자드레싱100g,W005,71.01745185,102.61745185,137.43935185,23.215,202.096,71.53,2021-01-03
8,D004,PET병,13D02142,참깨흑임자드레싱100g,W005,72.035038662,101.43503866,137.08388866,23.766,210.648,76.97,2021-01-03
9,D004,PET병,13D02080,참깨흑임자드레싱,W005,70.548134633,117.14813463,153.44178463,24.196,214.138,74.47,2021-01-03
10,D004,PET병,13D02080,참깨흑임자드레싱,W005,71.125830697,93.425830697,127.8782807,22.968,201.43,,2021-01-03
11,D004,PET병,13D02080,참깨흑임자드레싱,W005,72.070560921,128.27056092,163.70746092,23.625,207.524,76.75,2021-01-03
15,D004,PET병,13D02111,아몬드호두드레싱,W005,70.155012314,111.75501231,147.56091231,23.871,205.99,75.54,2021-01-03
16,D004,PET병,13D02111,아몬드호두드레싱,W005,73.404287564,109.90428756,145.08403756,23.453,205.848,73.08,2021-01-03
19,D004,PET병,13D02111,아몬드호두드레싱,W005,72.46563972,128.06563972,164.12088972,24.037,207.934,77.08,2021-01-04
22,D004,PET병,13D02060,레몬갈릭소스,W005,71.627850064,116.32785006,151.51215006,23.456,201.717,71.67,2021-01-04
23,D004,PET병,13D02060,레몬갈릭소스,W005,71.798981635,96.598981635,131.71913163,23.413,203.25,72.96,2021-01-04
25,D004,PET병,13D02060,레몬갈릭소스,W005,70.768676272,112.46867627,147.82742627,23.573,206.154,73.94,2021-01-04
24,D004,PET병,13D02060,레몬갈릭소스,W005,70.295528343,92.995528343,128.97752834,23.988,206.153,73.48,2021-01-04
26,D004,PET병,13D02094,스위트머스타드드레싱,W005,72.495477943,90.995477943,126.48737794,23.661,208.101,73.12,2021-01-04
27,D004,PET병,13D02094,스위트머스타드드레싱,W005,71.898894091,137.89889409,173.67849409,23.853,207.965,79.67,2021-01-04
28,D004,PET병,13D02094,스위트머스타드드레싱,W005,69.886729356,109.28672936,144.23282936,23.297,204.086,73.49,2021-01-04
29,D004,PET병,13D02094,스위트머스타드드레싱,W005,73.254245079,115.55424508,150.96814508,23.609,206.183,78.55,2021-01-04
30,D004,PET병,13D02139,크리미시저드레싱,W005,72.203941892,107.70394189,142.90899189,23.47,203.022,78.42,2021-01-04
14,D008,파일롯 - 수동,13K01219,함박스테이크소스-H1kg,W005,72.081426973,107.88142697,143.64602697,23.843,208.615,75.66,2021-01-03
12,D010,벌크(캔),13V00012,햄샐러드베이스,W005,72.481407837,93.481407837,128.33005784,23.232,210.705,70.58,2021-01-03
17,D013,마요네즈 수동,16B06001,골드마요네즈(업소용)10kg,W005,70.044031062,105.34403106,141.01318106,23.779,209.677,75.55,2021-01-03
21,D013,마요네즈 수동,16B06001,골드마요네즈(업소용)10kg,W005,70.510679096,110.7106791,146.0826791,23.581,207.595,79.09,2021-01-04
18,D013,마요네즈 수동,16B06001,골드마요네즈(업소용)10kg,W005,72.799873511,101.59987351,136.95887351,23.573,207.618,76.39,2021-01-04
20,P004,PET#1,13D02111,아몬드호두드레싱,W007,72.444021832,119.94402183,155.65597183,23.808,211.701,73.88,2021-01-04
1,C003,쿠커 #3,23G02010,맘스터치오리진파닭소스(재),W003,71.511058716,83.911058716,119.12670872,23.477,206.911,78.74,2021-01-04
5,C003,쿠커 #3,23A00424,샘표춘천닭갈비소스(재),W003,71.232873641,119.13287364,154.10942364,23.318,204.41,76.04,2021-01-04
2,C007,프리머 #1,23V00005,단호박베이스-2(재),W003,72.096914127,111.59691413,146.73226413,23.424,206.445,73.03,2021-01-04
4,C007,프리머 #1,23V00005,단호박베이스-2(재),W003,72.080878135,110.78087813,146.09472813,23.543,209.58,75.33,2021-01-04
6,D003,로타리 #2,13G02010,맘스터치오리진파닭소스,W005,71.408198552,101.80819855,137.46244855,23.77,210.24,77.52,2021-01-04
8,D003,로타리 #2,13A00424,샘표춘천닭갈비소스,W005,70.067848439,118.46784844,153.66634844,23.466,209.803,75.44,2021-01-04
9,D004,PET병,13D02140,세서미오리엔탈드레싱,W005,71.661887939,86.361887939,121.93193794,23.713,205.269,73.34,2021-01-04
10,D004,PET병,13D02140,세서미오리엔탈드레싱,W005,71.688089801,125.9880898,162.1559898,24.112,207.086,77.36,2021-01-04
11,D004,PET병,13D02140,세서미오리엔탈드레싱,W005,70.752086496,132.7520865,168.4118365,23.773,212.997,75.93,2021-01-04
12,D004,PET병,13D02140,세서미오리엔탈드레싱,W005,70.986570598,111.3865706,146.7977206,23.607,206.096,73.09,2021-01-04
13,D004,PET병,13D02150,1/2샐러드소스 파인애플,W005,72.529410436,111.42941044,146.90281044,23.649,206.564,72.35,2021-01-05
14,D004,PET병,13D02150,1/2샐러드소스 파인애플,W005,70.940835735,93.740835735,128.88463574,23.429,205.865,76.31,2021-01-05
16,D004,PET병,13D02150,1/2샐러드소스 파인애플,W005,71.97628574,119.97628574,155.24748574,23.514,214.701,74.59,2021-01-05
7,D011,2동 오리히로,16A01016,시아스고구마샐러드믹스,W005,71.58746958,103.98746958,138.73611958,23.166,204.974,,2021-01-04
3,P004,PET#1,13D02141,올리브유발사믹드레싱,W007,71.350061281,92.150061281,127.13056128,23.32,206.463,70.39,2021-01-04
15,P004,PET#1,13D02150,1/2샐러드소스 파인애플,W007,71.426083918,113.32608392,148.79238392,23.644,208.473,76.84,2021-01-05
8,C001,쿠커 #1,23S01091,임실앤치즈피자스파게티소스(재),W003,71.179612738,119.27961274,154.45111274,23.448,207.786,78.87,2021-01-05
2,C002,쿠커 #2,23K01321,나가사키베이스(재),W003,70.540994899,102.4409949,137.1351949,23.129,204.249,,2021-01-05
5,C002,쿠커 #2,23A00013,맘스양념소스2kg(재),W003,72.302306848,113.40230685,149.00590685,23.736,207.12,75.97,2021-01-05
