순번,생산라인코드,생산라인명,품목코드,품목명,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,오류발생작업장명,생산일자
10,D004,PET병,13D02080,참깨흑임자드레싱,14:16,14:24,8,W0056B4,위치조정실패,충전실,2021-01-03
7,D011,2동 오리히로,16A01016,시아스고구마샐러드믹스,18:54,19:03,9,W005711,대기,충전실,2021-01-04
2,C002,쿠커 #2,23K01321,나가사키베이스(재),9:51,9:58,7,W003452,충진 오류,쿠킹실,2021-01-05
13,P004,PET#1,13R02051,이마트베스트돈까스소스,18:20,20:44,144,W0076B2,구동부,포장실,2021-01-05
17,C004,쿠커 #4,23D02080,참깨흑임자드레싱(재),22:32,1:16,164,W003721,충진 오류,쿠킹실,2021-01-10
19,C006,2동 쿠커 #3,26A01016,시아스고구마샐러드믹스(재),23:48,0:36,48,W003452,충진 오류,쿠킹실,2021-01-10
5,C007,프리머 #1,26B04003,해표골드마요네즈(재),9:55,10:05,10,W003452,충진 오류,쿠킹실,2021-01-10
21,D004,PET병,13D02080,참깨흑임자드레싱,2:35,2:42,7,W0056E1,노즐,충전실,2021-01-11
7,C003,쿠커 #3,1.#JE+00,이마트가쓰오다시국물(재),11:13,12:00,47,W003452,충진 오류,쿠킹실,2021-01-11
19,C006,2동 쿠커 #3,26A02010,시아스단호박샐러드(재),0:40,4:33,233,W003452,충진 오류,쿠킹실,2021-01-12
6,C007,프리머 #1,26B03002,마요네즈-업소용10kg(재),14:30,14:40,10,W003452,충진 오류,쿠킹실,2021-01-12
11,C008,프리머 #2,26B06036,JFC마요네즈1kg(재),19:32,20:48,76,W003711,기타,쿠킹실,2021-01-12
3,D003,로타리 #2,16B06036,JFC마요네즈1kg,11:59,13:39,100,W005311,포장지 인쇄 불량,충전실,2021-01-12
2,D005,3.2마요,16B06050,신선하고깨끗한마요네즈,9:47,10:01,14,W0056E2,온도 상승 지연,충전실,2021-01-13
14,P004,PET#1,13U01141,요리愛[애]요리당,17:27,18:04,37,W007212,위치조정실패,포장실,2021-01-13
4,C006,2동 쿠커 #3,26A02010,시아스단호박샐러드(재),5:00,6:50,110,W003452,충진 오류,쿠킹실,2021-01-15
9,C010,파일롯,23K01312,서비스면양념장(재),12:40,13:16,36,W003312,전처리,쿠킹실,2021-01-17
28,D004,PET병,13D02080,참깨흑임자드레싱,18:15,18:27,12,W0056E1,노즐,충전실,2021-01-17
20,C003,쿠커 #3,23S05061,미스터피자치킨스파게티소스(재),19:23,19:47,24,W003452,충진 오류,쿠킹실,2021-01-18
13,C008,프리머 #2,26B06014,이마트 고소한 마요네즈250g(재),14:10,15:00,50,W003452,충진 오류,쿠킹실,2021-01-18
3,D005,3.2마요,16B04003,해표골드마요네즈,9:06,9:09,3,W0056A4,배합 실패 오류,충전실,2021-01-18
13,D004,PET병,13R02052,이마트베스트스테이크소스,14:14,14:36,22,W005211,PSD패킹 교체,충전실,2021-01-20
7,D011,2동 오리히로,16A01001,고구마샐러드-P,14:10,14:30,20,W005492,교체,충전실,2021-01-21
6,D011,2동 오리히로,16A02010,시아스단호박샐러드,22:20,0:01,101,W005313,불량교체,충전실,2021-01-22
23,D011,2동 오리히로,16A01002,감자샐러드-P,0:00,0:10,10,W005492,교체,충전실,2021-01-25
18,C006,2동 쿠커 #3,26A02010,시아스단호박샐러드(재),22:30,23:45,75,W003452,충진 오류,쿠킹실,2021-01-25
11,D005,3.2마요,16B04008,소후레쉬마요네즈골드3.2kg,17:13,17:26,13,W0056E2,온도 상승 지연,충전실,2021-01-25
15,D005,3.2마요,16B04008,소후레쉬마요네즈골드3.2kg,18:54,19:08,14,W0056E2,온도 상승 지연,충전실,2021-01-25
12,D004,PET병,13D02150,1/2샐러드소스 파인애플,13:57,14:00,3,W005711,대기,충전실,2021-01-26
8,C001,쿠커 #1,23P05010,시아스피자소스(재),10:46,11:44,58,W003312,전처리,쿠킹실,2021-01-27
15,C001,쿠커 #1,23P05010,시아스피자소스(재),14:00,14:51,51,W003312,전처리,쿠킹실,2021-01-27
25,C008,프리머 #2,23D01170,KFC마요드레싱3kg(재),21:05,22:35,90,W003471,온도 상승 지연,쿠킹실,2021-01-27
7,D005,3.2마요,16B06008,이츠웰골드마요네즈3.2kg,11:30,11:55,25,W005631,그립퍼,충전실,2021-01-28
17,D011,2동 오리히로,16A01016,시아스고구마샐러드믹스,14:15,15:10,55,W005441,씰바 셋팅,충전실,2021-01-28
25,D011,2동 오리히로,16A01002,감자샐러드-P,22:42,22:55,13,W005313,불량교체,충전실,2021-01-28
10,C007,프리머 #1,26B04003,해표골드마요네즈(재),12:58,13:35,37,W003212,위치조정실패,쿠킹실,2021-02-16
