품목코드,품목명,평균수주단가,Column 4
,,,
1.#JE+00,가쓰오다시국물900ml,,
11501122,조미액-갈릭라이스3kg,,
11501131,조미유-쉐프솔루션베이스볶음밥(시즌),,
11501133,조미액-소불고기볶음밥-JB/이랜드,,
11501135,한식베이스소스2kg,2100.4821429,
11501147,볶음베이스소스(2kg),2142.4310345,
13A00006,명인떡볶이소스,3538.7782805,
13A00010,시아스떡볶이양념소스,4820.1469705,
13A00013,맘스양념소스2kg,2264.1185647,
13A00015,에디슨양념치킨소스3.2kg,5436.707265,
13A00034,매운바베큐소스,2712.7848101,
13A00041,간장양념치킨소스2kg,2166.3658838,
13A00081,비비큐소스,6252.7160494,
13A00305,PALAMA KALBI SAUCE,6824.3119403,
13A00343,샘표갈비소스964g,2012.3353659,
13A00347,샘표불고기소스964g,2064.5157895,
13A00350,명인덮밥소스,3724.3356643,
13A00353,명인순두부소스2kg,4345.9333333,
13A00357,치킨강정용소스2kg,6386.010038,
13A00388,우뜸뼈해장국소스,4510.0334448,
13A00408,샘표목포낙지볶음소스,850.66666667,
13A00410,샘표안동찜닭소스,832.17391304,
13A00418,시아스떡볶이양념소스-1,385.47263682,
13A00421,다용도볶음조림소스305g,1100,
13A00422,멸치볶음소스300g,950,
13A00424,샘표춘천닭갈비소스,885.48387097,
13A00425,샘표대구매운갈비찜소스,870.65217391,
13A00431,칠리마늘소스,4674.3421053,
13A00433,매콤깐풍소스-R,2881.0511364,
13A00439,샘표불고기소스900g-광구,1722.4871795,
13A00440,샘표갈비소스900g-광구,1783.5185185,
13A00441,샘표핫갈비소스900g-광구,1956.244898,
13A00442,샘표잘익은고추장에생야채가득비빔국수,1403.1333333,
13A00443,샘표잘익은고추장에상큼한레몬초고추장,990.46511628,
13A00444,샘표매콤한떡볶이소스,611.39465875,
13A00445,오리엔탈소스-R,2700,
13A00448,오꼬노미야끼소스,2967.8832117,
13A00451,오리엔탈소스100g,0,
13A00454,매운맛드레싱305g-수출,750,
13A00455,소불고기양념장600g-수출,0,
13A00456,소불고기양념장305g-수출,0,
13A00469,돼지불고기양념장310g-수출,0,
13A00477,샘표불고기소스300g,904.80882353,
13A00478,샘표갈비소스300g,912.86363636,
13A00479,샘표핫갈비소스300g,852.11111111,
13A00480,샘표불고기소스500g,1249.8,
13A00481,샘표갈비소스500g,1083.3,
13A00483,샘표불고기소스900g,1802.48,
13A00484,샘표갈비소스900g,1668.1111111,
13A00486,맛탕소스-E,2296.2918178,
13A00489,샘표불고기양념500g-중국,2025,
