,product_name,stock_type,category
0,JUMBO BAG PINK POLKADOT,consignment,"Bags, Luggage & Accessories"
1,BLUE POLKADOT WRAP,consignment,Home & Garden
2,RED RETROSPOT WRAP,consignment,Home & Garden
3,RECYCLING BAG RETROSPOT,consignment,"Bags, Luggage & Accessories"
4,RED RETROSPOT SHOPPER BAG,consignment,"Bags, Luggage & Accessories"
5,JUMBO BAG RED RETROSPOT,consignment,"Bags, Luggage & Accessories"
6,RED RETROSPOT CHILDRENS UMBRELLA,consignment,Home & Garden
7,JAM MAKING SET PRINTED,consignment,Home & Garden
9,CHILDRENS APRON APPLES DESIGN,consignment,Home & Garden
10,PEG BAG APPLES DESIGN,consignment,"Bags, Luggage & Accessories"
11,COFFEE MUG APPLES DESIGN,consignment,Home & Garden
12,COFFEE MUG PEARS  DESIGN,consignment,Home & Garden
13,WHITE HANGING HEART T-LIGHT HOLDER,consignment,Lights & Lighting
14,SET OF 6 T-LIGHTS EASTER CHICKS,consignment,Easter
16,LOVE HEART NAPKIN BOX,consignment,Home & Garden
17,RED HANGING HEART T-LIGHT HOLDER,consignment,Lights & Lighting
18,CERAMIC BOWL WITH LOVE HEART DESIGN,consignment,Home & Garden
19,LARGE CAKE STAND HANGING HEARTS,consignment,Home & Garden
20,PLACE SETTING WHITE HEART,consignment,Home & Garden
21,DOORSTOP RETROSPOT HEART,consignment,Home & Garden
22,GINGHAM HEART  DOORSTOP RED,consignment,Home & Garden
23,CERAMIC CHERRY CAKE MONEY BANK,consignment,Home & Garden
24,LOVE HEART POCKET WARMER,consignment,Home & Garden
25,SWEETHEART CERAMIC TRINKET BOX,consignment,Home & Garden
26,GARDEN METAL SIGN,consignment,Home & Garden
27,RED KITCHEN SCALES,consignment,Home & Garden
28,VICTORIAN SEWING BOX SMALL,consignment,Home & Garden
29,VINTAGE SNAP CARDS,consignment,Toys & Gifts
30,HANGING HEART ZINC T-LIGHT HOLDER,consignment,Lights & Lighting
31,BREAD BIN DINER STYLE RED,consignment,Home & Garden
32,IVORY KITCHEN SCALES,consignment,Home & Garden
33,TRIPLE PHOTO FRAME CORNICE,consignment,Home & Garden
34,JAM JAR WITH GREEN LID,consignment,Home & Garden
35,JAM JAR WITH PINK LID,consignment,Home & Garden
36,ENAMEL FLOWER JUG CREAM,consignment,Home & Garden
37,PHOTO FRAME 3 CLASSIC HANGING,consignment,Home & Garden
38,RED DINER WALL CLOCK,consignment,Home & Garden
39,IVORY DINER WALL CLOCK,consignment,Watches
40,SINGLE HEART ZINC T-LIGHT HOLDER,consignment,Lights & Lighting
41,PACK OF 20 NAPKINS PANTRY DESIGN,consignment,Home & Garden
42,FAMILY PHOTO FRAME CORNICE,consignment,Home & Garden
43,3 HOOK PHOTO SHELF ANTIQUE WHITE,consignment,Home & Garden
44,HANGING HEART JAR T-LIGHT HOLDER,consignment,Lights & Lighting
45,SWEETHEART CAKESTAND 3 TIER,consignment,Home & Garden
46,SET OF 3 HEART COOKIE CUTTERS,consignment,Home & Garden
47,BREAD BIN DINER STYLE IVORY,consignment,Home & Garden
48,SET OF 3 CAKE TINS PANTRY DESIGN,consignment,Home & Garden
49,NATURAL SLATE HEART CHALKBOARD,consignment,Home & Garden
50,HOMEMADE JAM SCENTED CANDLES,consignment,Home & Garden
51,ANTIQUE SILVER TEA GLASS ETCHED,consignment,Home & Garden
52,SET OF 4 DIAMOND NAPKIN RINGS,consignment,Home & Garden
53,ENGLISH ROSE GARDEN SECATEURS,consignment,Home & Garden
54,MINI WOODEN HAPPY BIRTHDAY GARLAND,consignment,Toys & Gifts
56,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,consignment,Lights & Lighting
57,LIGHT GARLAND BUTTERFILES PINK,consignment,Lights & Lighting
58,WOODEN OWLS LIGHT GARLAND,consignment,Lights & Lighting
59,VICTORIAN GLASS HANGING T-LIGHT,consignment,Lights & Lighting
60,REX CASH+CARRY JUMBO SHOPPER,consignment,"Bags, Luggage & Accessories"
61,SILVER HANGING T-LIGHT HOLDER,consignment,Lights & Lighting
62,MAGNETS PACK OF 4 VINTAGE LABELS,consignment,Home & Garden
63,SILVER ROCOCO CANDLE STICK,consignment,Home & Garden
64,4 LAVENDER BOTANICAL DINNER CANDLES,consignment,Home & Garden
65,4 WILDFLOWER BOTANICAL CANDLES,buying,Home & Garden
66,SET/4 DAISY MIRROR MAGNETS,buying,Home & Garden
67,SILVER CHRISTMAS TREE BAUBLE STAND,buying,Christmas
69,TOOL BOX SOFT TOY,consignment,Toys & Gifts
70,FELTCRAFT DOLL EMILY,consignment,"Baby, Kids & Maternity"
71,SWEETHEART WIRE MAGAZINE RACK,consignment,Home & Garden
72,CARD HOLDER GINGHAM HEART,consignment,Office & School & Business & Industrial
73,PACK OF 6 BIRDY GIFT TAGS,consignment,Home & Garden
74,SET/20 RED RETROSPOT PAPER NAPKINS,consignment,Home & Garden
76,SET OF 6 HERB TINS SKETCHBOOK,consignment,Office & School & Business & Industrial
77,RED RETROSPOT SMALL MILK JUG,consignment,Home & Garden
78,RED RETROSPOT SUGAR JAM BOWL,consignment,Home & Garden
79,CHILLI LIGHTS,consignment,Lights & Lighting
80,CREAM SWEETHEART LETTER RACK,consignment,Home & Garden
81,CREAM SWEETHEART MINI CHEST,consignment,"Bags, Luggage & Accessories"
82,SMALL POPCORN HOLDER,consignment,Home & Garden
83,CLOTHES PEGS RETROSPOT PACK 24,consignment,"Bags, Luggage & Accessories"
84,SET/5 RED RETROSPOT LID GLASS BOWLS,consignment,Home & Garden
85,KEY CABINET MA CAMPAGNE,consignment,Home & Garden
86,MEMO BOARD RETROSPOT  DESIGN,consignment,Home & Garden
87,MEMO BOARD COTTAGE DESIGN,consignment,Office & School & Business & Industrial
88,PICTURE FRAME WOOD TRIPLE PORTRAIT,consignment,Home & Garden
89,FAMILY ALBUM WHITE PICTURE FRAME,consignment,Home & Garden
90,"KEY FOB , BACK DOOR",consignment,Home & Garden
91,"KEY FOB , SHED",consignment,Home & Garden
92,"KEY FOB , GARAGE DESIGN",consignment,Home & Garden
93,PLASTERS IN TIN CIRCUS PARADE,consignment,Home & Garden
94,PLASTERS IN TIN STRONGMAN,consignment,Home & Garden
95,60 TEATIME FAIRY CAKE CASES,consignment,Home & Garden
96,PACK OF 60 SPACEBOY CAKE CASES,consignment,Home & Garden
97,SWEETHEART RECIPE BOOK STAND,consignment,Home & Garden
98,RIDGED GLASS FINGER BOWL,consignment,Home & Garden
99,BLACK FLOWER CANDLE PLATE,consignment,Home & Garden
100,VINTAGE GLASS TEA CADDY,consignment,Home & Garden
101,BAG 125g SWIRLY MARBLES,consignment,Toys & Gifts
102,SET OF 20 VINTAGE CHRISTMAS NAPKINS,consignment,Christmas
103,SEWING SUSAN 21 NEEDLE SET,consignment,Home & Garden
104,PINK  HEART SHAPE LOVE BUCKET,consignment,Home & Garden
105,LUSH GREENS RIBBONS,consignment,Home & Garden
106,HANGING SPRING FLOWER EGG LARGE,consignment,Home & Garden
107,ANGEL DECORATION STARS ON DRESS,consignment,Home & Garden
108,SET OF 6 HEART CHOPSTICKS,consignment,Home & Garden
109,FELT EGG COSY WHITE RABBIT,consignment,Home & Garden
