CustomerId,Gender,Age,AgeGroup,Married,Dependents,noDependents,Referrals,noReferrals,PaperlessBilling,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,StartDate,EndDate,EndDateTmp,ChurnLabel,ChurnScore,ChurnCategory,ChurnReason,CustomerLTV,SatisScore,TotalExtraDataCharge,AvgRoamCharge,TotalRoamCharge
C-10001,여성,37,30대,Yes,No,0,Yes,2,Yes,신용카드,No,Yes,Yes,Yes,16,2020.4.1,,2022.1.1,No,65,,,2205,3,0,47910,431100
C-10002,남성,46,40대,No,No,0,No,0,No,신용카드,No,No,No,No,10,2020.4.1,,2022.1.1,No,66,,,5414,5,11300,12090,108710
C-10003,남성,50,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,30,2020.10.1,2021.2.1,2021.2.1,Yes,71,Competitor,Price too high,4479,1,0,38080,152100
C-10004,남성,78,70대,Yes,No,0,Yes,1,Yes,계좌이체,No,Yes,No,Yes,4,2020.6.1,2021.7.1,2021.7.1,Yes,99,Dissatisfaction,Product dissatisfaction,3714,1,0,31410,408720
C-10005,여성,75,70대,Yes,No,0,Yes,3,Yes,신용카드,No,No,Yes,Yes,11,2021.7.1,2021.10.1,2021.10.1,Yes,68,Dissatisfaction,Network reliability,3464,1,0,8360,24970
C-10006,여성,23,20대,No,Yes,1,No,0,Yes,신용카드,No,No,Yes,Yes,73,2020.4.1,,2022.1.1,No,55,,,5108,3,0,18980,170520
C-10007,여성,67,60대,Yes,No,0,Yes,1,Yes,계좌이체,Yes,Yes,Yes,Yes,14,2015.2.1,,2022.1.1,No,26,,,5011,3,0,11300,799140
C-10008,남성,52,50대,Yes,No,0,Yes,8,Yes,신용카드,Yes,No,Yes,No,7,2015.10.1,,2022.1.1,No,49,,,4604,4,22600,14690,922650
C-10009,여성,68,60대,No,No,0,No,0,Yes,계좌이체,Yes,No,No,Yes,21,2020.6.1,,2022.1.1,No,34,,,5525,3,0,11870,83280
C-10010,여성,43,40대,Yes,Yes,1,Yes,3,Yes,신용카드,Yes,Yes,Yes,Yes,14,2015.8.1,,2022.1.1,No,25,,,5509,3,0,32210,2090390
C-10011,남성,47,40대,No,No,0,No,0,No,신용카드,Yes,No,Yes,Yes,10,2016.7.1,,2022.1.1,No,54,,,5435,4,0,0,0
C-10012,여성,25,20대,Yes,Yes,2,Yes,2,Yes,신용카드,Yes,Yes,Yes,Yes,59,2015.1.1,,2022.1.1,No,52,,,6252,3,0,18080,1302550
